Industry,Definition
Agriculture,"This combines the North American Industry Classification System (NAICS) codes 111-112, 1100, and 1151-1152."
Forestry and logging and support activities for forestry,This combines the North American Industry Classification System (NAICS) codes 113 and 1153.
"Forestry, fishing, mining, quarrying, oil and gas","This combines the North American Industry Classification System (NAICS) codes 21, 113-114, 1153, and 2100 (mining - not elsewhere classified)."
Energy,"This combines the North American Industry Classification System (NAICS) codes 211, 212, 213, and 324."
"Finance, insurance, real estate, rental and leasing",This combines the North American Industry Classification System (NAICS) codes 52 and 53.
"Business, building and other support services",This combines the North American Industry Classification System (NAICS) codes 55 and 56.
"Information, culture and recreation",This combines the North American Industry Classification System (NAICS) codes 51 and 71.
